ID	Longitude	Latitude
1	-99.6247	19.2426
2	-99.6282	19.2453
3	-99.6298	19.2479
4	-99.6176	19.2528
5	-99.6295	19.2572
6	-99.6305	19.2645
7	-99.622	19.2657
8	-99.6174	19.2665
9	-99.7436	19.2667
10	-99.74	19.2742
11	-99.7377	19.2817
12	-99.7317	19.2717
13	-99.7304	19.2781
14	-99.7386	19.2958
15	-99.7334	19.2892
16	-99.7355	19.2965
17	-99.7316	19.2954
18	-99.7199	19.2811
19	-99.723	19.2871
20	-99.7273	19.2942
21	-99.7238	19.2957
22	-99.7183	19.2906
23	-99.7169	19.2915
24	-99.7285	19.3006
25	-99.7103	19.2683
26	-99.7072	19.2866
27	-99.7052	19.2922
28	-99.6995	19.2895
29	-99.6949	19.269
30	-99.6942	19.2726
31	-99.6966	19.2832
32	-99.6903	19.2778
33	-99.7335	19.2504
34	-99.7291	19.2436
35	-99.7278	19.2526
36	-99.7099	19.2465
37	-99.7027	19.2547
38	-99.7126	19.2644
39	-99.6991	19.2579
40	-99.7002	19.2657
41	-99.6968	19.2608
42	-99.6908	19.2662
43	-99.6853	19.2576
44	-99.6834	19.2637
45	-99.6474	19.1477
46	-99.638	19.1431
47	-99.6282	19.1412
48	-99.618	19.1592
49	-99.6229	19.1644
50	-99.6174	19.1632
51	-99.6289	19.1948
52	-99.6745	19.2283
53	-99.6667	19.2199
54	-99.6659	19.2202
55	-99.6657	19.2244
56	-99.6606	19.2183
57	-99.6566	19.2144
58	-99.6621	19.222
59	-99.6574	19.2183
60	-99.6646	19.2431
61	-99.6644	19.2456
62	-99.6799	19.2703
63	-99.6744	19.2694
64	-99.6708	19.2544
65	-99.6397	19.2906
66	-99.6432	19.2954
67	-99.6341	19.2934
68	-99.6353	19.2986
69	-99.6281	19.2716
70	-99.627	19.2857
71	-99.6214	19.2719
72	-99.6186	19.271
73	-99.6162	19.2711
74	-99.6154	19.2755
75	-99.6151	19.279
76	-99.6183	19.2955
77	-99.6457	19.304
78	-99.6363	19.3012
79	-99.6399	19.3273
80	-99.6363	19.3209
81	-99.6266	19.3024
82	-99.6306	19.3139
83	-99.6196	19.3062
84	-99.6155	19.3072
85	-99.6207	19.3127
86	-99.6184	19.3161
87	-99.6237	19.3318
88	-99.62	19.3306
89	-99.6663	19.3413
90	-99.6674	19.3502
91	-99.6682	19.3521
92	-99.6681	19.356
93	-99.6582	19.3433
94	-99.65	19.3465
95	-99.6571	19.355
96	-99.6475	19.3614
97	-99.6447	19.3369
98	-99.6404	19.3471
99	-99.6386	19.3336
100	-99.6375	19.3416
101	-99.6442	19.3614
102	-99.637	19.3524
103	-99.6316	19.3639
104	-99.6298	19.3426
105	-99.6255	19.343
106	-99.6268	19.3525
107	-99.6178	19.3612
108	-99.622	19.3612
109	-99.6389	19.3665
110	-99.6187	19.396
111	-99.755	19.4626
112	-99.6621	19.4484
113	-99.6536	19.4621
114	-99.7102	19.5691
115	-99.6513	19.6056
116	-99.6075	19.0666
117	-99.6022	19.0694
118	-99.576	19.0332
119	-99.591	19.0944
120	-99.5941	19.0959
121	-99.5863	19.0944
122	-99.5843	19.1018
123	-99.593	19.1099
124	-99.5866	19.1061
125	-99.5906	19.1131
126	-99.5868	19.1202
127	-99.5476	19.06
128	-99.5338	19.1115
129	-99.5354	19.1118
130	-99.5041	19.1351
131	-99.4997	19.1281
132	-99.4981	19.1384
133	-99.4291	19.1354
134	-99.6123	19.1622
135	-99.586	19.1452
136	-99.5847	19.1913
137	-99.5803	19.1437
138	-99.5787	19.1458
139	-99.5664	19.1594
140	-99.5659	19.1646
141	-99.5644	19.1605
142	-99.5626	19.1981
143	-99.5493	19.1984
144	-99.5515	19.1987
145	-99.5883	19.2107
146	-99.5913	19.2355
147	-99.5891	19.2286
148	-99.6062	19.2447
149	-99.6004	19.2469
150	-99.6102	19.2526
151	-99.6104	19.26
152	-99.595	19.2574
153	-99.6022	19.267
154	-99.5967	19.2397
155	-99.5944	19.247
156	-99.5938	19.2509
157	-99.5854	19.2485
158	-99.5972	19.2589
159	-99.5969	19.2614
160	-99.5983	19.263
161	-99.4835	19.2622
162	-99.6119	19.2723
163	-99.5984	19.2663
164	-99.6039	19.2759
165	-99.6021	19.2953
166	-99.596	19.2729
167	-99.5922	19.2684
168	-99.592	19.2709
169	-99.5905	19.2728
170	-99.5978	19.2778
171	-99.5976	19.2853
172	-99.5872	19.2831
173	-99.5897	19.2778
174	-99.5912	19.2858
175	-99.5889	19.2852
176	-99.6104	19.311
177	-99.6061	19.3071
178	-99.6025	19.3063
179	-99.6058	19.3096
180	-99.6056	19.3124
181	-99.6112	19.3145
182	-99.6085	19.3284
183	-99.6024	19.3366
184	-99.5919	19.3053
185	-99.5924	19.3086
186	-99.5925	19.3108
187	-99.5927	19.3214
188	-99.582	19.3038
189	-99.5824	19.3079
190	-99.5894	19.3227
191	-99.5791	19.2753
192	-99.5813	19.2841
193	-99.5666	19.2798
194	-99.5782	19.2942
195	-99.5699	19.2943
196	-99.5617	19.2693
197	-99.5589	19.2754
198	-99.5505	19.2779
199	-99.5586	19.307
200	-99.5802	19.3138
201	-99.5829	19.3129
202	-99.5764	19.3107
203	-99.5668	19.3108
204	-99.5698	19.3294
205	-99.5676	19.3181
206	-99.6092	19.3408
207	-99.6119	19.3502
208	-99.5969	19.3471
209	-99.5959	19.3541
210	-99.6087	19.366
211	-99.6106	19.377
212	-99.6141	19.3897
213	-99.6014	19.3845
214	-99.5765	19.3517
215	-99.5495	19.3497
216	-99.553	19.3597
217	-99.5803	19.3834
218	-99.5475	19.2731
219	-99.5419	19.278
220	-99.5372	19.2747
221	-99.5332	19.2804
222	-99.5342	19.2872
223	-99.5262	19.2683
224	-99.5466	19.2983
225	-99.4605	19.2493
226	-99.4649	19.2681
227	-99.4577	19.263
228	-99.457	19.2679
229	-99.4416	19.2057
230	-99.4509	19.2665
231	-99.4457	19.2677
232	-99.4134	19.1742
233	-99.4138	19.1831
234	-99.4148	19.1873
235	-99.4173	19.2613
236	-99.4161	19.2633
237	-99.411	19.259
238	-99.3928	19.2424
239	-99.3924	19.2387
240	-99.3914	19.2465
241	-99.4723	19.2684
242	-99.4703	19.2729
243	-99.4572	19.271
244	-99.4536	19.2698
245	-99.4698	19.3161
246	-99.4717	19.3212
247	-99.4715	19.3242
248	-99.4589	19.3028
249	-99.4609	19.3173
250	-99.4619	19.3303
251	-99.4691	19.3351
252	-99.4807	19.3555
253	-99.4456	19.3318
254	-99.4489	19.363
255	-99.616	19.459
256	-99.5995	19.4628
257	-99.5578	19.411
258	-99.5596	19.4138
259	-99.5573	19.4244
260	-99.5535	19.4286
261	-99.5756	19.4319
262	-99.593	19.4628
263	-99.5825	19.4831
264	-99.5757	19.4811
265	-99.5652	19.4781
266	-99.5655	19.4845
267	-99.5633	19.483
268	-99.5574	19.493
269	-99.5714	19.5023
270	-99.5219	19.4023
271	-99.5232	19.41
272	-99.4878	19.4126
273	-99.4963	19.4185
274	-99.4902	19.4192
275	-99.4891	19.4488
276	-99.5293	19.4666
277	-99.6076	19.5499
278	-99.6923	19.2832
279	-99.6818	19.2717
280	-99.6839	19.2721
281	-99.6871	19.2829
282	-99.6818	19.2766
283	-99.683	19.2829
284	-99.6953	19.2941
285	-99.6962	19.2988
286	-99.6882	19.2922
287	-99.6864	19.2929
288	-99.6895	19.3022
289	-99.6901	19.3329
290	-99.6807	19.3249
291	-99.6839	19.3317
292	-99.7306	19.3452
293	-99.6968	19.3334
294	-99.7032	19.4029
295	-99.6721	19.2722
296	-99.677	19.2765
297	-99.6667	19.2748
298	-99.6667	19.2805
299	-99.6757	19.2947
300	-99.6721	19.2847
301	-99.6713	19.2886
302	-99.6657	19.2892
303	-99.668	19.2932
304	-99.6611	19.2753
305	-99.6592	19.2699
306	-99.6564	19.2737
307	-99.658	19.2859
308	-99.6515	19.2707
309	-99.6549	19.2818
310	-99.6516	19.0614
311	-99.6559	19.1096
312	-99.6515	19.1043
313	-99.6479	19.1069
314	-99.6349	19.1216
315	-99.7714	19.2459
316	-99.7733	19.2555
317	-99.7592	19.2355
318	-99.7619	19.2451
319	-99.759	19.2478
320	-99.7531	19.2453
321	-99.7497	19.2666
322	-99.837	19.2837
323	-99.8319	19.2775
324	-99.8249	19.275
325	-99.8259	19.2836
326	-99.821	19.2892
327	-99.817	19.2859
328	-99.772	19.2657
329	-99.7655	19.2788
330	-99.7718	19.2949
331	-99.7636	19.292
332	-99.7638	19.2954
333	-99.7618	19.295
334	-99.7504	19.2911
335	-99.7649	19.3634
336	-99.755	19.3404
337	-99.7455	19.3544
338	-99.7514	19.3664
339	-99.7607	19.367
340	-99.7608	19.3706
341	-99.7571	19.3654
342	-99.6689	19.2531
343	-99.6707	19.2571
344	-99.6647	19.258
345	-99.6702	19.2644
346	-99.6641	19.2643
347	-99.6655	19.2684
348	-99.6634	19.252
349	-99.6594	19.2618
350	-99.6583	19.2674
351	-99.6518	19.253
352	-99.6527	19.2616
353	-99.653	19.2638
354	-99.6393	19.2288
355	-99.6309	19.2099
356	-99.6301	19.2339
357	-99.6466	19.2393
358	-99.6426	19.2354
359	-99.6408	19.2378
360	-99.6364	19.2481
361	-99.6329	19.2523
362	-99.6457	19.2479
363	-99.6467	19.2619
364	-99.6488	19.2682
365	-99.6413	19.2628
366	-99.6429	19.2687
367	-99.6389	19.2484
368	-99.6384	19.2582
369	-99.6366	19.2568
370	-99.6338	19.2553
371	-99.6335	19.2584
372	-99.6391	19.2628
373	-99.635	19.2626
374	-99.6486	19.2729
375	-99.6487	19.2818
376	-99.6561	19.2884
377	-99.6609	19.2958
378	-99.6622	19.2972
379	-99.6567	19.2955
